X,Y,C,R,DirApp_year,LU_year,NatmLosses,Ndeposition,Nfertilizer,Ngw,NgwDirect,Ngw_nondirect,Nharvest,Nharvest_actual,Nirrigation,NlandApplied,NmanureSale,Nnorm,Nrunoff_actual,Nseptic
-192525,298275,617,6,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-192475,298275,618,6,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-192425,298275,619,6,0.00000,2.00000,0.32435,3.05925,0.00000,0.37976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.10442
-192375,298275,620,6,0.00000,2.00000,0.32435,3.05925,0.00000,0.37976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.10442
-192325,298275,621,6,0.00000,2.00000,0.32435,3.05925,0.00000,0.37976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.10442
-192275,298275,622,6,0.00000,2.00000,0.32435,3.05925,0.00000,0.37976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.10442
-192225,298275,623,6,0.00000,2.00000,0.32435,3.05925,0.00000,0.37976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.10442
-192175,298275,624,6,0.00000,2.00000,0.32435,3.05925,0.00000,0.37976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.10442
-192125,298275,625,6,0.00000,2.00000,0.30593,3.05925,0.00000,0.27533,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.00000
-192075,298275,626,6,0.00000,2.00000,0.32435,3.05925,0.00000,0.37976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.10442
-192025,298275,627,6,0.00000,2.00000,0.32435,3.05925,0.00000,0.37976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.10442
-191975,298275,628,6,0.00000,2.00000,0.32435,3.05925,0.00000,0.37976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.10442
-191925,298275,629,6,0.00000,2.00000,0.32435,3.05925,0.00000,0.37976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.10442
-191875,298275,630,6,0.00000,2.00000,0.32435,3.05925,0.00000,0.37976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.10442
-193675,298225,594,7,0.00000,2.00000,0.56953,3.05925,0.00000,1.76907,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,1.49374
-193625,298225,595,7,0.00000,2.00000,0.56953,3.05925,0.00000,1.76907,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,1.49374
-193575,298225,596,7,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-193525,298225,597,7,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-193475,298225,598,7,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-193425,298225,599,7,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-193375,298225,600,7,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-193325,298225,601,7,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
-193275,298225,602,7,0.00000,2.00000,0.37672,3.05925,0.00000,0.67651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.75333,0.40117
